Date,Meal_Period,Covers,Food_Revenue,Beverage_Revenue,Total_Revenue,Food_Cost,Beverage_Cost,Total_Cost,GP_Percentage,Average_Check
2024-01-01,Breakfast,45,675.00,135.00,810.00,202.50,40.50,243.00,70.0,18.00
2024-01-01,Lunch,78,1170.00,234.00,1404.00,351.00,70.20,421.20,70.0,18.00
2024-01-01,Dinner,92,1840.00,368.00,2208.00,552.00,110.40,662.40,70.0,24.00
2024-01-02,Breakfast,52,780.00,156.00,936.00,234.00,46.80,280.80,70.0,18.00
2024-01-02,Lunch,85,1275.00,255.00,1530.00,382.50,76.50,459.00,70.0,18.00
2024-01-02,Dinner,98,1960.00,392.00,2352.00,588.00,117.60,705.60,70.0,24.00
2024-01-03,Breakfast,48,720.00,144.00,864.00,216.00,43.20,259.20,70.0,18.00
2024-01-03,Lunch,82,1230.00,246.00,1476.00,369.00,73.80,442.80,70.0,18.00
2024-01-03,Dinner,95,1900.00,380.00,2280.00,475.00,95.00,570.00,70.0,24.00
2024-01-04,Breakfast,55,825.00,165.00,990.00,247.50,49.50,297.00,70.0,18.00
